Gene name	Human gene name
Zfp935	ZNF625-ZNF20
Zfp935	AC008770.2
Zfp935	ZNF69
Barhl2	BARHL2
D930020B18Rik	C12orf56
Edar	EDAR
Ptpdc1	PTPDC1
Pex7	PEX7
Bco1	BCO1
Crhbp	CRHBP
Amfr	AMFR
Serpina3j	SERPINA3
Uba3	UBA3
Patz1	PATZ1
Rbsn	RBSN
Nek3	NEK3
Neu3	NEU3
Lurap1l	LURAP1L
Cstl1	CSTL1
Pknox2	PKNOX2
Emd	EMD
Hck	HCK
Alppl2	ALPPL2
Alppl2	ALPI
Alppl2	ALPP
Mlc1	MLC1
Dmxl1	DMXL1
Nop14	NOP14
Plxnc1	PLXNC1
Map4k4	MAP4K4
Sh2d3c	SH2D3C
Nup98	NUP98
Nr4a2	NR4A2
Magt1	MAGT1
5730409E04Rik	C1orf216
Scn9a	SCN9A
Cd300c2	CD300C
Cd300c2	CD300A
Itgb1bp1	ITGB1BP1
Tfg	TFG
Fam122b	FAM122B
Usp27x	USP27X
Yeats4	YEATS4
Pgm5	PGM5
Slc36a2	SLC36A2
Myh14	MYH14
Lyzl1	LYZL1
Lyzl1	LYZL2
Cenpc1	CENPC
Timm17a	TIMM17A
Tmem192	TMEM192
Camk2b	CAMK2B
Pik3ip1	PIK3IP1
Smarcc2	SMARCC2
Eno4	ENO4
Map3k1	MAP3K1
Gm7271	EXOC1L
Rftn2	RFTN2
Asap2	ASAP2
Crp	CRP
Psmb2	PSMB2
Fbxo47	FBXO47
Lipt2	LIPT2
Ythdf3	YTHDF3
Col4a5	COL4A5
Lipk	LIPK
Dync2h1	DYNC2H1
Npy1r	NPY1R
Arpin	C15orf38-AP3S2
Arpin	ARPIN
Tyrobp	TYROBP
Apold1	APOLD1
Shh	SHH
Susd2	SUSD2
Cd3e	CD3E
Sh2d7	SH2D7
Sez6l2	SEZ6L2
Rps27l	RPS27L
Cib2	CIB2
Sh3rf3	SH3RF3
Zfp560	ZNF778
Xrra1	XRRA1
Lepr	LEPR
Ddx51	DDX51
Kank1	KANK1
Unc80	UNC80
Tmem156	TMEM156
Bbs9	BBS9
Mdfic	MDFIC
Serpina3m	SERPINA3
Wdr74	WDR74
Txnl4b	TXNL4B
Pex16	PEX16
Eral1	ERAL1
Awat2	AWAT2
Serpina3k	SERPINA3
Wdr47	WDR47
Dapl1	DAPL1
Olfr1447	OR5B3
Aoc2	AOC2
Gm45736	WDR74
Trh	TRH
1700092M07Rik	AP001160.5
Emg1	EMG1
Ubtf	UBTF
Cst11	CST11
Ece2	ECE2
Rragc	RRAGC
Col1a2	COL1A2
F9	F9
Slitrk3	SLITRK3
Cops9	COPS9
Spcs2	SPCS2
Otud6a	OTUD6A
Galr2	GALR2
Lpcat3	LPCAT3
4930402H24Rik	C20orf194
Tra2a	TRA2A
Pdzd2	PDZD2
Ltbp1	LTBP1
Bpnt1	BPNT1
Nlrp1a	NLRP1
Large2	LARGE2
Ddit4l	DDIT4L
Sucla2	SUCLA2
Smco1	SMCO1
Gstm4	GSTM4
Zfp644	ZNF644
Rnf168	RNF168
Vipas39	VIPAS39
Eif2d	EIF2D
Mlf2	MLF2
Ldah	LDAH
Zdhhc13	ZDHHC13
Vps8	VPS8
Fat3	FAT3
Tmc7	TMC7
Nxph1	NXPH1
Mars2	MARS2
Asphd1	ASPHD1
6720489N17Rik	ZNF625-ZNF20
6720489N17Rik	AC008770.2
6720489N17Rik	ZNF69
Cst8	CST8
Tfap2e	TFAP2E
Syt5	SYT5
Cd209e	CD209
Cd209e	CLEC4M
Phf21a	PHF21A
Tanc1	TANC1
Ccne2	CCNE2
Kctd13	KCTD13
S100z	S100Z
Mapk6	MAPK6
Gm13698	CWC22
Gm13693	CWC22
Tmem131l	TMEM131L
Nlrp6	NLRP6
Tgfbr1	TGFBR1
F2rl1	F2RL1
Cpsf3	CPSF3
Exoc1	EXOC1
3830406C13Rik	C3orf14
Gm13695	CWC22
C87436	C2orf42
Gm13696	CWC22
Olfr1448	OR5B12
Gan	GAN
Mapt	MAPT
Cisd2	CISD2
Cwh43	CWH43
Gm13694	CWC22
Cd300ld2	CD300LD
Atp7a	ATP7A
Gm13697	CWC22
Gm13691	CWC22
Cd300ld4	CD300LD
F2r	F2R
Unc45a	UNC45A
Cd209d	CD209
Cd209d	CLEC4M
Igbp1	IGBP1
Igbp1	AC011195.2
Mpv17l	MPV17L
Mpv17l	AC140504.1
Gtdc1	GTDC1
Hcst	HCST
Zfp710	ZNF710
Vax1	VAX1
Phf10	PHF10
Foxn4	FOXN4
Amn	AMN
Plekhh1	PLEKHH1
Cd300ld5	CD300LD
Ints8	INTS8
Srp19	AC008575.2
Srp19	SRP19
2010107E04Rik	C14orf2
Otos	OTOS
Cmip	CMIP
Esco2	ESCO2
Aldh1b1	ALDH1B1
1600012H06Rik	C6orf120
Arl6ip5	ARL6IP5
Kcp	KCP
Arglu1	ARGLU1
Pcdh19	PCDH19
Tm4sf19	TM4SF19-TCTEX1D2
Tm4sf19	TM4SF19
Lhfpl4	LHFPL4
Alpi	ALPPL2
Alpi	ALPI
Alpi	ALPP
Fam122c	FAM122C
Fthl17a	FTHL17
Bbs5	BBS5
Hp	HPR
Hp	HP
Prkcq	PRKCQ
Tpm2	TPM2
Ccdc25	CCDC25
AC154682.1	C3orf14
Siglecf	CD33
Siglecf	SIGLEC6
Pigh	PIGH
Sec14l3	SEC14L3
Colq	COLQ
Elovl4	ELOVL4
Tab3	TAB3
Cd209b	CD209
Cd209b	CLEC4M
Nudt21	NUDT21
Zfp703	ZNF703
Akp3	ALPPL2
Akp3	ALPI
Akp3	ALPP
Leo1	LEO1
Tctex1d2	AC069257.3
Tctex1d2	TCTEX1D2
Nfkbid	NFKBID
Gm14459	SSX4
Gm14459	SSX7
Gm14459	SSX5
Gm14459	SSX2
Gm14459	SSX3
Gm14459	SSX1
Gm14459	SSX4B
Gm14459	SSX2B
Lmod1	LMOD1
Hoxd1	HOXD1
Ssxb6	SSX4
Ssxb6	SSX7
Ssxb6	SSX5
Ssxb6	SSX2
Ssxb6	SSX3
Ssxb6	SSX1
Ssxb6	SSX4B
Ssxb6	SSX2B
Ssxb3	SSX4
Ssxb3	SSX7
Ssxb3	SSX5
Ssxb3	SSX2
Ssxb3	SSX3
Ssxb3	SSX1
Ssxb3	SSX4B
Ssxb3	SSX2B
Fam222b	FAM222B
Lsm1	LSM1
Map3k7cl	MAP3K7CL
Gucy2e	GUCY2D
Trbv12-1	AC244196.3
Olfr1451	OR5B2
Exoc7	EXOC7
Mtx2	MTX2
Tm9sf4	TM9SF4
Mex3c	MEX3C
Ube4b	UBE4B
Kcne3	KCNE3
AC121964.1	OR5B3
Trbv13-1	TRBV10-2
Trbv13-1	TRBV10-1
Trbv13-1	TRBV10-3
Sall1	SALL1
Enoph1	ENOPH1
Luc7l3	LUC7L3
Trbv12-2	AC244196.3
Rnf32	RNF32
F2rl2	F2RL2
Mospd1	MOSPD1
Aoc3	AOC3
Hacl1	HACL1
Trbv13-2	TRBV10-2
Trbv13-2	TRBV10-1
Trbv13-2	TRBV10-3
Lmod3	LMOD3
Rpp40	RPP40
Pgpep1l	PGPEP1L
Mcmdc2	MCMDC2
Rhbdd1	RHBDD1
Nlrp1b	NLRP1
Rassf5	RASSF5
Npm1	NPM1
Armc10	ARMC10
Gpc1	GPC1
Idh3a	IDH3A
Psmd6	PSMD6
Olfr1453	OR5B3
Hey1	HEY1
Nme5	NME5
Bin2	BIN2
Unc5cl	UNC5CL
Cd300ld3	CD300LD
Ankmy1	ANKMY1
Dhodh	DHODH
Timm50	TIMM50
Gm9047	AC025594.2
Mpdz	MPDZ
Abtb1	ABTB1
Ankrd33b	ANKRD33B
Lrrd1	LRRD1
Lactb	LACTB
Muc5b	MUC5B
Lrp8	LRP8
Rpl3l	RPL3L
Dennd2c	DENND2C
Prss12	PRSS12
H2afz	H2AFZ
Pou3f1	POU3F1
Krit1	KRIT1
Fam169b	FAM169B
Olfr1454	OR5B3
Cdnf	CDNF
Ccnd3	CCND3
Tox3	TOX3
Lypla2	LYPLA2
Arel1	AREL1
Slc36a1	SLC36A1
Gm128	C1orf56
Dmrt1	DMRT1
Bach1	BACH1
Efhd2	EFHD2
Frmd4b	FRMD4B
Bnipl	BNIPL
Trim9	TRIM9
Ptprh	PTPRH
Sry	SRY
Ei24	EI24
Picalm	PICALM
Cers3	CERS3
Ckap2	CKAP2
Enpp7	ENPP7
Mrps28	MRPS28
Pcyt1a	PCYT1A
Ttk	TTK
Smad4	SMAD4
Cftr	CFTR
Tmem159	TMEM159
Fhad1	FHAD1
Cops7a	COPS7A
Pm20d1	PM20D1
Aqp7	AQP7
Aqp7	AL845331.2
Fam107b	FAM107B
Commd2	COMMD2
D630045J12Rik	KIAA1549
Btd	BTD
Cd300e	CD300E
Etl4	KIAA1217
Aplp1	APLP1
Mpped2	MPPED2
Ncdn	NCDN
Utp11	UTP11
Emx2	EMX2
Nobox	NOBOX
Mybpc1	MYBPC1
Scara3	SCARA3
Gm4064	RBMY1B
Gm4064	RBMY1A1
Gm4064	RBMY1D
Gm4064	RBMY1E
Gm4064	RBMY1F
Gm4064	RBMY1J
Rpl4	RPL4
Tmem213	TMEM213
Dgat2l6	DGAT2L6
Prickle2	PRICKLE2
Atp6v0a4	ATP6V0A4
Cntnap5c	CNTNAP5
Col3a1	COL3A1
Cpne8	CPNE8
Bmp2	BMP2
Dcun1d4	DCUN1D4
Rala	RALA
Nrp1	NRP1
Rad52	RAD52
Cab39l	CAB39L
BC048403	C12orf66
Awat1	AWAT1
Fcf1	FCF1
Mboat7	MBOAT7
Mpz	MPZ
Ppp1r3g	PPP1R3G
Trim75	TRIM75P
Hao1	HAO1
Ssxb8	SSX4
Ssxb8	SSX7
Ssxb8	SSX5
Ssxb8	SSX2
Ssxb8	SSX3
Ssxb8	SSX1
Ssxb8	SSX4B
Ssxb8	SSX2B
Fahd2a	FAHD2A
Fahd2a	FAHD2B
9030617O03Rik	C14orf159
Mtfp1	MTFP1
Cryl1	CRYL1
Gabra6	GABRA6
Cbx2	CBX2
Apela	APELA
Mcf2	MCF2
Traf4	TRAF4
Lrp5	LRP5
Trim60	TRIM60
Armc12	ARMC12
Samd5	SAMD5
Cpne6	CPNE6
Tmem150c	TMEM150C
C2cd2l	C2CD2L
Cdadc1	CDADC1
Tmem86b	TMEM86B
Zfp287	ZNF287
Cd300lf	CD300LD
Tsen34	TSEN34
Clpsl2	CLPSL2
Lyrm4	LYRM4
Kctd10	KCTD10
Rps15	RPS15
Ddx47	DDX47
Alg2	ALG2
Exoc3l	EXOC3L1
Exoc3l2	EXOC3L2
Ndufa4	NDUFA4
Tbx3	TBX3
Fars2	FARS2
Galnt4	POC1B-GALNT4
Galnt4	GALNT4
Osr1	OSR1
C2cd5	C2CD5
Serpina3n	SERPINA3
Poc1b	POC1B
Adamts17	ADAMTS17
Cacng1	CACNG1
Gpsm2	GPSM2
Larp4b	LARP4B
BC051665	CTSL
Zfp2	ZFP2
Rfx5	RFX5
Ampd2	AMPD2
Ankrd16	ANKRD16
Nol3	NOL3
Zfp36l2	ZFP36L2
Myo1h	MYO1H
Ifitm7	IFITM1
Hmgn2	HMGN4
Hmgn2	HMGN2
Gsc	GSC
2900011O08Rik	C16orf45
4931428F04Rik	KIAA0895L
Acat3	ACAT2
Olfr1457	OR5B3
Esd	ESD
Lhx6	LHX6
Aldh5a1	ALDH5A1
Gpr68	GPR68
Etd	ETDC
Etd	ETDB
Etd	ETDA
Clcc1	CLCC1
Olfr1458	OR5B3
Ssx9	SSX4
Ssx9	SSX7
Ssx9	SSX5
Ssx9	SSX2
Ssx9	SSX3
Ssx9	SSX1
Ssx9	SSX4B
Ssx9	SSX2B
Eif5a	EIF5A
Fkbpl	FKBPL
Mrpl18	MRPL18
Nrn1	NRN1
Rbm46	RBM46
G6pc	G6PC
Naf1	NAF1
Arrdc2	ARRDC2
C9	C9
Cnih3	CNIH3
Tpk1	TPK1
Alkbh8	ALKBH8
Rbp7	RBP7
Acp6	ACP6
Ppp5c	PPP5C
Bmp4	BMP4
Bspry	BSPRY
Casp3	CASP3
Tcp1	TCP1
Slc35b1	SLC35B1
Rab37	RAB37
Irs4	IRS4
Fat2	FAT2
Msc	MSC
Psmc4	PSMC4
Ssxb5	SSX4
Ssxb5	SSX7
Ssxb5	SSX5
Ssxb5	SSX2
Ssxb5	SSX3
Ssxb5	SSX1
Ssxb5	SSX4B
Ssxb5	SSX2B
Col23a1	COL23A1
Acsbg1	ACSBG1
Rcc1	RCC1
Tpd52	TPD52
Gm6592	SSX4
Gm6592	SSX7
Gm6592	SSX5
Gm6592	SSX2
Gm6592	SSX3
Gm6592	SSX1
Gm6592	SSX4B
Gm6592	SSX2B
Erlin2	ERLIN2
Gm5751	SSX4
Gm5751	SSX7
Gm5751	SSX5
Gm5751	SSX2
Gm5751	SSX3
Gm5751	SSX1
Gm5751	SSX4B
Gm5751	SSX2B
Gm15294	GAPDH
Cst9	CST9
Cacna1f	CACNA1F
Nmnat1	NMNAT1
Napepld	NAPEPLD
Trbv13-3	TRBV10-2
Trbv13-3	TRBV10-1
Trbv13-3	TRBV10-3
Ecel1	ECEL1
Yae1d1	YAE1D1
Tnmd	TNMD
Trbv14	TRBV11-1
Trbv14	AC244196.4
Gm14597	CT55
Cdh19	CDH19
Arg2	ARG2
Pcp4l1	PCP4L1
Slc27a4	SLC27A4
Cxx1c	RTL8A
Cxx1c	RTL8B
Cxx1c	RTL8C
Trbv15	AC244196.1
Trbv15	AC244196.5
Wbp1l	WBP1L
Eprs	EPRS
Olfr1459	OR5B3
Igfbpl1	IGFBPL1
Vps36	VPS36
Arl14ep	ARL14EP
Grik5	GRIK5
1700016G14Rik	C6orf229
Fhl3	FHL3
Tollip	TOLLIP
Asb14	ASB14
Ep400	EP400
Vti1b	VTI1B
Trbv17	AC244472.4
BC034090	KIAA1614
P2ry4	P2RY4
Ncald	NCALD
Rbm39	RBM39
Exoc4	EXOC4
Atf6b	ATF6B
Tdrd9	TDRD9
Rab11fip2	RAB11FIP2
Cdc42bpb	CDC42BPB
Jade3	JADE3
Wdr4	WDR4
Hdhd3	HDHD3
Tmc5	TMC5
Zfp286	ZNF286A
Zfp286	ZNF286B
Zfp286	AC005324.4
Supt5	SUPT5H
Kcnn1	KCNN1
Sec14l2	AC004832.3
Sec14l2	SEC14L2
Galnt6	GALNT6
Ankrd63	ANKRD63
Cbx8	CBX8
Plcg2	PLCG2
Snrnp70	SNRNP70
Pitpna	PITPNA
Ly6k	LY6K
Ndst3	NDST3
Yes1	YES1
Mtif2	MTIF2
Adgrg7	ADGRG7
Itgb1	ITGB1
Clu	CLU
Dnajb14	DNAJB14
Trmt1	TRMT1
Trbv19	TRBV19
Fbxo41	FBXO41
Amer3	AMER3
Drosha	DROSHA
Myo1f	MYO1F
Tmx4	TMX4
Trbv20	TRBV20OR9-2
Trbv20	TRBV20-1
Grik1	GRIK1
Slit2	SLIT2
Samd3	SAMD3
Ankub1	ANKUB1
Lrat	LRAT
Saa4	SAA4
Npr1	NPR1
Fgg	FGG
Tmod3	TMOD3
Trbv21	TRBV21OR9-2
Zfp426	ZNF426
Rd3l	RD3L
Mpzl1	MPZL1
Kirrel2	KIRREL2
Arr3	ARR3
Mtmr14	MTMR14
Ogfod1	OGFOD1
Lyst	LYST
Map3k7	MAP3K7
Gmnn	GMNN
Rps7	RPS7
Clps	CLPS
Csrp3	CSRP3
Slc41a1	SLC41A1
Tspan6	TSPAN6
Foxo1	FOXO1
Ppp1cb	PPP1CB
Aig1	AIG1
Bloc1s3	BLOC1S3
Bloc1s3	AC005779.2
Barx1	BARX1
Gk	GK
Gk	GK3P
Lhfpl5	LHFPL5
Cdkl2	CDKL2
Serpinf2	SERPINF2
Gm5591	C2orf78
Dhrs7b	DHRS7B
Trappc6a	TRAPPC6A
Zeb2	ZEB2
Bhlhe22	BHLHE22
Ccdc171	CCDC171
Gabrb2	GABRB2
Sec61b	SEC61B
Cbx4	CBX4
Ift88	IFT88
Lyz2	LYZ
Zfp354b	ZNF354B
Pithd1	PITHD1
Ppp6r1	PPP6R1
Gml	GML
Retreg2	RETREG2
Creb5	CREB5
Gm45396	AC007906.2
Lyz1	LYZ
Ncln	NCLN
Plagl2	PLAGL2
Syt14	SYT14
Il1f10	IL1F10
Dus4l	DUS4L
Jam3	JAM3
Rpe	RPEL1
Rpe	RPE
Mfsd4b4	MFSD4B
Alad	ALAD
Fam162b	FAM162B
Nat10	NAT10
Gml2	GML
Sdr42e1	SDR42E1
Sar1a	SAR1A
Phtf2	PHTF2
Abcg8	ABCG8
Ccdc7a	CCDC7
Cyp11b1	CYP11B1
Cyp11b1	CYP11B2
Trpa1	TRPA1
Hspa4l	HSPA4L
Sik2	SIK2
Cmbl	CMBL
Srpk1	SRPK1
Nek8	NEK8
Pcf11	PCF11
Sec16a	SEC16A
Fam45a	FAM45A
Mogat1	MOGAT1
Csnk2a2	CSNK2A2
Mrpl54	MRPL54
Kansl1l	KANSL1L
Camk2n2	CAMK2N2
Arhgef4	ARHGEF4
Clcn7	CLCN7
Gyg	GYG1
Cyp21a1	CYP21A2
Fpr-rs3	FPR3
Tmem51	TMEM51
Ahsa1	AHSA1
Inca1	INCA1
Apcs	APCS
Ndufb3	NDUFB3
Foxp3	FOXP3
Pianp	PIANP
Map3k8	MAP3K8
Gas2l3	GAS2L3
Fam155a	FAM155A
Arl10	ARL10
Gprc5a	GPRC5A
Abcg5	ABCG5
Pbrm1	PBRM1
Pofut1	POFUT1
Gpi1	GPI
Nceh1	NCEH1
Stradb	STRADB
Fcgbp	FCGBP
Egr4	EGR4
Dyrk1a	DYRK1A
Appl1	APPL1
Lysmd3	LYSMD3
Nop16	NOP16
Tatdn2	TATDN2
Tatdn2	AC022384.1
Irf2	IRF2
Sparc	SPARC
Utrn	UTRN
Bckdhb	BCKDHB
Tubgcp4	TUBGCP4
Olfr16	OR10J5
Sox5	SOX5
CN725425	C12orf40
Ppp2r1b	PPP2R1B
Ism2	ISM2
Polr3g	POLR3G
Ccdc22	CCDC22
Prop1	PROP1
Tbc1d16	TBC1D16
Fam207a	FAM207A
Thsd1	THSD1
Plxdc1	PLXDC1
Fbp2	FBP2
Coq3	COQ3
Mfsd4b2	MFSD4B
Als2cr12	ALS2CR12
Cttnbp2	CTTNBP2
Tmem128	TMEM128
Hddc3	HDDC3
Fam168b	FAM168B
Aqp3	AQP3
Txn2	TXN2
Tbx5	TBX5
Srpx2	SRPX2
Fbp1	FBP1
Rpp25	RPP25
Ppp1r3f	PPP1R3F
Alms1	ALMS1
Pmpcb	PMPCB
Nav2	NAV2
Fthl17b	FTHL17
Cox5a	COX5A
Prss56	PRSS56
Snu13	SNU13
Saa1	SAA2
Saa1	SAA1
Lrfn2	LRFN2
Fam219b	FAM219B
Man2a2	MAN2A2
Gprc5d	GPRC5D
Hfm1	HFM1
Wdsub1	WDSUB1
Izumo2	IZUMO2
Tmem131	TMEM131
Mef2a	MEF2A
Gucy2f	GUCY2F
Ikzf1	IKZF1
Srgap1	SRGAP1
Adamts14	ADAMTS14
Rasl10b	RASL10B
Fthl17c	FTHL17
Nkpd1	NKPD1
Slc4a8	SLC4A8
Lipn	LIPN
Nde1	NDE1
Gpd2	GPD2
Dnajc2	DNAJC2
Bcl9	BCL9
Phykpl	PHYKPL
Mfsd4b3	MFSD4B
Myo9a	MYO9A
Mfsd4b5	MFSD4B
Bloc1s6	BLOC1S6
Tomm40l	TOMM40L
Lzic	LZIC
Sptlc2	SPTLC2
Ube3b	UBE3B
Cntnap2	CNTNAP2
Nt5c1b	NT5C1B
Nt5c1b	NT5C1B-RDH14
Tfec	TFEC
Xpr1	XPR1
L3mbtl3	L3MBTL3
Phf2	PHF2
Hsd17b2	HSD17B2
Saa2	SAA2
Saa2	SAA1
Grk4	GRK4
Aire	AIRE
Ddx39	DDX39A
Ccdc57	CCDC57
Olfr720	OR2T6
Nudt12	NUDT12
Bgn	BGN
Eloa	ELOA
Slc2a13	SLC2A13
Pgghg	PGGHG
Cd209c	CD209
Cd209c	CLEC4M
Elac1	AC091551.1
Elac1	ELAC1
Zbtb45	ZBTB45
Hnrnpab	HNRNPAB
Dusp28	DUSP28
E2f8	E2F8
Clhc1	CLHC1
Higd2a	HIGD2B
Higd2a	HIGD2A
Tor2a	TOR2A
Cacng4	CACNG4
Ctsll3	CTSL
A830018L16Rik	C8orf34
Klf11	KLF11
Trim28	TRIM28
Lysmd4	LYSMD4
Rnpepl1	RNPEPL1
Cog5	COG5
Cntrob	CNTROB
Ctnnbip1	CTNNBIP1
Kif4	KIF4B
Kif4	KIF4A
Fermt2	FERMT2
Rnaseh1	RNASEH1
Rnaseh1	AC108488.2
Nr1i3	NR1I3
2310011J03Rik	C19orf25
Itgax	ITGAD
Itgax	ITGAX
Sult2a1	SULT2A1
Ttc16	TTC16
Med20	MED20
Ier3	IER3
Adgre5	ADGRE5
Gprc6a	GPRC6A
BC030870	SMIM31
Apc2	APC2
Cnih1	CNIH1
Rps27a	RPS27A
Rxfp4	RXFP4
Lmbr1	LMBR1
Apba3	APBA3
Glis1	GLIS1
Prickle4	AL365205.1
Prickle4	PRICKLE4
Hbp1	HBP1
Cwf19l2	CWF19L2
Pdzd11	PDZD11
Il1rn	IL1RN
Stap1	STAP1
Klhl41	KLHL41
Tomm6	TOMM6
Arrdc4	ARRDC4
Rbm19	RBM19
Kazn	KAZN
2810403A07Rik	KIAA0907
Ppp1r37	PPP1R37
Pou6f2	POU6F2
Frs3	FRS3
Nr4a3	NR4A3
Gpld1	GPLD1
Chrnd	CHRND
Zscan29	ZSCAN29
Tjp3	TJP3
Usp14	USP14
Slc51a	SLC51A
Igsf9b	IGSF9B
Mphosph6	MPHOSPH6
Tnxb	TNXB
Phyhip	PHYHIP
Olfr1461	OR5B3
Slc9a3r1	SLC9A3R1
Trp53bp1	TP53BP1
Rab29	RAB29
Zfp280d	ZNF280D
Dsel	DSEL
Nrf1	NRF1
Cog6	COG6
Atp10b	ATP10B
Rbm44	RBM44
Ankrd22	ANKRD22
AI837181	C11orf68
Usp49	USP49
Shisa4	SHISA4
Kcnj5	KCNJ5
Tcrg-C2	TRGC1
Tcrg-C2	TRGC2
Nol6	NOL6
Fthl17d	FTHL17
Rgp1	RGP1
March1	MARCH1
Slc35e1	SLC35E1
Syne1	SYNE1
Tex36	TEX36
Tspan8	TSPAN8
Adra1b	ADRA1B
Brd8	BRD8
Otop1	OTOP1
Ghrl	GHRL
Mro	MRO
Alpk2	ALPK2
Inpp5k	INPP5K
Gm21981	AL365205.1
Gm21981	PRICKLE4
Cdh13	CDH13
Zfp574	ZNF574
Fshb	FSHB
Lrriq3	LRRIQ3
Dicer1	DICER1
Tnfaip8	TNFAIP8
Smg8	SMG8
Faxc	FAXC
Cnga4	CNGA4
Tmem11	TMEM11
Rab11b	RAB11B
Slc16a3	SLC16A3
1700003E16Rik	AC005041.1
1700003E16Rik	C2orf81
Ccdc124	CCDC124
Mei1	MEI1
Hebp1	HEBP1
Kcnip3	KCNIP3
Kcna4	KCNA4
Nphs1	NPHS1
Kif3b	KIF3B
Ist1	IST1
Scn7a	SCN7A
Fibp	FIBP
Gsg1	GSG1
Diexf	DIEXF
Mrs2	MRS2
Itga8	ITGA8
Trim16	TRIM16
Trim16	TRIM16L
Sfxn4	SFXN4
Cabin1	CABIN1
Fga	FGA
Fastkd1	FASTKD1
Lamtor3	LAMTOR3
Trap1	TRAP1
Nxt2	NXT2
Comtd1	COMTD1
Pkd1l3	PKD1L3
Tmod2	TMOD2
Gm38100	BECN2
Asb8	ASB8
Fthl17e	FTHL17
Tpte	TPTE
Tpte	TPTE2
Tln1	TLN1
Rc3h1	RC3H1
Usp24	USP24
Fgb	FGB
Rgn	RGN
Agbl2	AGBL2
Vdac2	VDAC2
Sorl1	SORL1
Fbxw10	CDRT1
Fbxw10	FBXW10
Fbxw10	AC005324.3
Cntn1	CNTN1
Nkx2-9	NKX2-8
9530053A07Rik	FCGBP
Mpi	MPI
Plcb2	PLCB2
Med26	AC008764.1
Med26	MED26
Kif21b	KIF21B
Cdh20	CDH20
Foxq1	FOXQ1
Fam234b	FAM234B
Tmem45a	TMEM45A
Rrp7a	RRP7A
Zfp473	ZNF473
BC005537	C6orf62
Zc3hav1l	ZC3HAV1L
Cckbr	CCKBR
Plcb1	PLCB1
Dnase1	DNASE1
Lnp1	LNP1
Clstn1	CLSTN1
Snapc1	SNAPC1
Natd1	NATD1
Gpr22	GPR22
Foxred2	FOXRED2
Prdx5	PRDX5
Sqor	AC090527.2
Sqor	SQOR
Utp14b	UTP14C
Utp14b	UTP14A
Slc7a2	SLC7A2
Serhl	SERHL2
Acsl3	ACSL3
Ptges3l	PTGES3L-AARSD1
Fam120a	FAM120A
Hivep2	HIVEP2
4930486L24Rik	CTSL
Rnf169	RNF169
Dnase1l1	DNASE1L1
Spop	SPOP
Hif1a	HIF1A
Hps5	HPS5
Kmt5b	KMT5B
Plrg1	PLRG1
Ankrd55	ANKRD55
Mdh1	MDH1
Slc15a5	SLC15A5
Tmem5	TMEM5
Esrra	ESRRA
Vrk3	VRK3
Rdh11	AL049779.1
Rdh11	RDH11
Rundc1	RUNDC1
Slc26a8	SLC26A8
Trmt112	TRMT112
Pram1	PRAM1
Dmrtb1	DMRTB1
Ilf2	ILF2
Aarsd1	AARSD1
Kcnj1	KCNJ1
Selenow	SELENOW
Prosc	PLPBP
Wnk1	WNK1
Wdpcp	WDPCP
Taz	TAZ
Kcnb2	KCNB2
Nat1	NAT1
Nat1	NAT2
Stambpl1	STAMBPL1
Fam46a	FAM46A
Zc3hav1	ZC3HAV1
Zfp414	ZNF414
Cyp11b2	CYP11B1
Cyp11b2	CYP11B2
Gm27029	PTGES3L-AARSD1
Fez1	FEZ1
Pacsin3	PACSIN3
Pgm2l1	PGM2L1
Klhl5	KLHL5
Ppp2r1a	PPP2R1A
Adi1	ADI1
Flot1	FLOT1
Ccdc7b	CCDC7
Csnk1d	CSNK1D
Msmp	MSMP
Ssmem1	SSMEM1
Trgv2	TRGV11
Dnajb4	DNAJB4
Snapin	SNAPIN
Gba2	GBA2
Zp2	ZP2
Cdc23	CDC23
Urm1	URM1
Gm13420	AL160276.1
Rbm8a2	RBM8A
Pld5	PLD5
Ndufb11	NDUFB11
Slc25a21	SLC25A21
Chrdl2	CHRDL2
Rfx6	RFX6
Nat2	NAT1
Nat2	NAT2
Rbm10	RBM10
AC124712.1	SNAPC1
Nat3	NAT1
Nat3	NAT2
Tnfsf10	TNFSF10
Ddhd1	DDHD1
Uba6	UBA6
Pax9	PAX9
Tmx1	TMX1
Nop53	NOP53
Prr11	PRR11
Dtnb	DTNB
Itgb2	ITGB2
Hey2	HEY2
Slc29a1	SLC29A1
Gm16602	TRGV11
Tysnd1	TYSND1
9230104L09Rik	CST9
Zfp296	ZNF296
Tcrg-C4	TRGC1
Tcrg-C4	TRGC2
Cacng5	CACNG5
Pkn3	PKN3
Smg7	SMG7
Dhx40	DHX40
Gemin7	GEMIN7
Cxx1a	RTL8A
Cxx1a	RTL8B
Cxx1a	RTL8C
Bcas2	BCAS2
Gmfb	GMFB
Olfr1462	OR5B3
Ccdc40	CCDC40
Cyp2j13	CYP2J2
Mpzl3	MPZL3
Ccdc121	CCDC121
St6galnac5	ST6GALNAC5
Psd3	PSD3
Cxx1b	RTL8A
Cxx1b	RTL8B
Cxx1b	RTL8C
Eif4g2	EIF4G2
Ermard	ERMARD
Trappc12	TRAPPC12
Gm21969	AL080251.1
Gm21969	IFFO2
Creb3	CREB3
Mfsd4b1	MFSD4B
Zdhhc19	ZDHHC19
Fam208b	FAM208B
Rrm2b	RRM2B
Mpzl2	MPZL2
